,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Construction_Laborers,similar_Construction_Laborers,empl_Construction_Laborers,auto_Construction_Laborers
60,"Engineers, All Other",0.014,99250,123390,"Engineers, All Other",-0.618236775819,0.313487579,1.0,0.88
61,Training and Development Specialists,0.014,63350,269710,Training and Development Specialists,-0.401894238358,0.177977694,1.0,0.88
62,First-Line Supervisors of Office and Administrative Support Workers,0.014,57890,1443150,First-Line Supervisors of Office and Administrative Support Workers,-0.34548281223,0.216118108,0.632020233517,0.88
63,"Biological Scientists, All Other",0.015,77830,35110,"Biological Scientists, All Other",-0.513169728896,0.205906328,1.0,0.88
64,Public Relations and Fundraising Managers,0.015,123360,63970,Public Relations and Fundraising Managers,-0.692850194553,0.184348756,1.0,0.88
65,Multimedia Artists and Animators,0.015,72200,29810,Multimedia Artists and Animators,-0.475207756233,0.238877743,1.0,0.88
66,Computer and Information Research Scientists,0.015,116320,26580,Computer and Information Research Scientists,-0.674260660248,0.227009959,1.0,0.88
67,Chief Executives,0.015,194350,223260,Chief Executives,-0.80504244919,0.150905129,1.0,0.88
68,"Education Administrators, Preschool and Childcare Center/Program",0.015,52150,48530,"Education Administrators, Preschool and Childcare Center/Program",-0.273441994247,0.188569869,1.0,0.88
69,Music Directors and Composers,0.015,60630,18380,Music Directors and Composers,-0.375061850569,0.231903666,1.0,0.88
70,First-Line Supervisors of Production and Operating Workers,0.016,61450,610480,First-Line Supervisors of Production and Operating Workers,-0.383401139138,0.330464416,1.0,0.88
71,"Securities, Commodities, and Financial Services Sales Agents",0.016,102260,353780,"Securities, Commodities, and Financial Services Sales Agents",-0.629473890084,0.238541198,1.0,0.88
72,Conservation Scientists,0.016,65130,20470,Conservation Scientists,-0.418240442193,0.322376808,1.0,0.88
73,"Special Education Teachers, Middle School",0.016,61910,90250,"Special Education Teachers, Middle School",-0.387982555322,0.209683697,1.0,0.88
74,Chemical Engineers,0.017,105420,31990,Chemical Engineers,-0.640580535003,0.200411295,1.0,0.88
75,Architectural and Engineering Managers,0.017,143870,178390,Architectural and Engineering Managers,-0.736637241955,0.269192632,1.0,0.88
76,Aerospace Engineers,0.017,112010,68510,Aerospace Engineers,-0.661726631551,0.212951605,1.0,0.88
77,Natural Sciences Managers,0.018,136150,54780,Natural Sciences Managers,-0.721704002938,0.266633415,1.0,0.88
78,Environmental Engineers,0.018,88530,52280,Environmental Engineers,-0.572009488309,0.259667307,1.0,0.88
79,"Architects, Except Landscape and Naval",0.018,84470,99860,"Architects, Except Landscape and Naval",-0.55143838049,0.248529422,1.0,0.88
80,Physical Therapist Assistants,0.018,56850,85580,Physical Therapist Assistants,-0.333509234828,0.32107002,1.0,0.88
81,Civil Engineers,0.019,89730,287800,Civil Engineers,-0.577733199599,0.257441018,1.0,0.88
82,"Health Diagnosing and Treating Practitioners, All Other",0.02,84800,36280,"Health Diagnosing and Treating Practitioners, All Other",-0.553183962264,0.223915593,1.0,0.88
83,Soil and Plant Scientists,0.021,69290,14690,Soil and Plant Scientists,-0.453167845288,0.245965329,1.0,0.88
84,Materials Scientists,0.021,101570,7750,Materials Scientists,-0.626956778576,0.271885306,1.0,0.88
85,Materials Engineers,0.021,97050,26800,Materials Engineers,-0.609582689335,0.273307824,1.0,0.88
86,Fashion Designers,0.021,76480,19230,Fashion Designers,-0.504576359833,0.223309861,1.0,0.88
87,Physical Therapists,0.021,87220,216920,Physical Therapists,-0.565581288695,0.20646233,1.0,0.88
88,Photographers,0.021,42640,48660,Photographers,-0.111397748593,0.313319173,1.0,0.88
89,Producers and Directors,0.022,93840,114510,Producers and Directors,-0.596227621483,0.262243394,1.0,0.88
90,Interior Designers,0.022,56220,53160,Interior Designers,-0.326040554963,0.25600128,1.0,0.88
91,Orthodontists,0.023,228780,5200,Orthodontists,-0.834382376082,0.220987224,1.0,0.88
92,Art Directors,0.023,101170,36210,Art Directors,-0.625481862212,0.205903926,1.0,0.88
93,First-Line Supervisors of Correctional Officers,0.025,65100,43230,First-Line Supervisors of Correctional Officers,-0.41797235023,0.257272757,1.0,0.88
94,"Directors, Religious Activities and Education",0.025,44840,20590,"Directors, Religious Activities and Education",-0.154995539697,0.192932474,1.0,0.88
95,"Electronics Engineers, Except Computer",0.025,103760,132100,"Electronics Engineers, Except Computer",-0.634830377795,0.259163383,1.0,0.88
96,Biochemists and Biophysicists,0.027,94340,29200,Biochemists and Biophysicists,-0.59836760653,0.180258999,1.0,0.88
97,Chiropractors,0.027,81210,32960,Chiropractors,-0.533431843369,0.218724796,1.0,0.88
98,Occupational Therapy Assistants,0.028,59530,38170,Occupational Therapy Assistants,-0.363514194524,0.277932857,1.0,0.88
99,"Child, Family, and School Social Workers",0.028,47510,298840,"Child, Family, and School Social Workers",-0.202483687645,0.148343048,1.0,0.88
100,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.028,90190,25410,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",-0.579886905422,0.298398234,1.0,0.88
101,Industrial Engineers,0.029,88530,256550,Industrial Engineers,-0.572009488309,0.323798779,1.0,0.88
102,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,59800,202760,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,-0.366387959866,0.2930643,1.0,0.88
103,Veterinary Technologists and Technicians,0.029,33870,99390,Veterinary Technologists and Technicians,0.118689105403,0.314015452,1.0,0.88
104,Industrial Production Managers,0.03,107060,168400,Industrial Production Managers,-0.646086306744,0.282120916,1.0,0.88
105,Industrial Engineering Technicians,0.03,56920,63220,Industrial Engineering Technicians,-0.334328882642,0.33233208,1.0,0.88
106,Network and Computer Systems Administrators,0.03,84500,376820,Network and Computer Systems Administrators,-0.551597633136,0.247217791,1.0,0.88
107,Database Administrators,0.03,87130,113730,Database Administrators,-0.565132560542,0.273109877,1.0,0.88
108,Purchasing Managers,0.03,117720,71750,Purchasing Managers,-0.678134556575,0.271948983,1.0,0.88
109,"Environmental Scientists and Specialists, Including Health",0.033,75360,84250,"Environmental Scientists and Specialists, Including Health",-0.497213375796,0.298194406,1.0,0.88
110,Substance Abuse and Behavioral Disorder Counselors,0.033,44160,91040,Substance Abuse and Behavioral Disorder Counselors,-0.141983695652,0.172552096,1.0,0.88
111,Lawyers,0.035,139880,619530,Lawyers,-0.729124964255,0.197876872,1.0,0.88
112,Craft Artists,0.035,38900,5070,Craft Artists,-0.0259640102828,0.361511941,1.0,0.88
113,Operations Research Analysts,0.035,84340,109150,Operations Research Analysts,-0.550746976524,0.201676505,1.0,0.88
114,Computer and Information Systems Managers,0.035,145740,352510,Computer and Information Systems Managers,-0.740016467682,0.21815358,1.0,0.88
115,Commercial and Industrial Designers,0.037,70880,31860,Commercial and Industrial Designers,-0.465434537246,0.286165953,1.0,0.88
116,Biomedical Engineers,0.037,89970,20590,Biomedical Engineers,-0.578859619873,0.168521717,1.0,0.88
117,"Meeting, Convention, and Event Planners",0.037,52020,95850,"Meeting, Convention, and Event Planners",-0.271626297578,0.273797611,1.0,0.88
118,Veterinarians,0.038,100560,67650,Veterinarians,-0.623210023866,0.228075619,1.0,0.88
119,Writers and Authors,0.038,71920,44690,Writers and Authors,-0.473164627364,0.248178649,1.0,0.88
120,Advertising and Promotions Managers,0.039,117810,28860,Advertising and Promotions Managers,-0.678380443086,0.209336662,1.0,0.88
121,Political Scientists,0.039,112250,6350,Political Scientists,-0.662449888641,0.189750253,1.0,0.88
122,Credit Counselors,0.04,49480,34110,Credit Counselors,-0.234236054972,0.20714815,1.0,0.88
123,"Social Scientists and Related Workers, All Other",0.04,80860,36380,"Social Scientists and Related Workers, All Other",-0.531412317586,0.245532207,1.0,0.88
124,Astronomers,0.041,110380,1830,Astronomers,-0.656731291901,0.173262047,1.0,0.88
125,Ship Engineers,0.041,74120,9750,Ship Engineers,-0.488801942795,0.406352889,1.0,0.88
126,"Software Developers, Applications",0.042,104300,794000,"Software Developers, Applications",-0.636720997124,0.189726102,1.0,0.88
127,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.042,57410,11520,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.340010451141,0.363960149,1.0,0.88
128,Psychiatric Technicians,0.043,35870,61720,Psychiatric Technicians,0.0563144689155,0.240610023,1.0,0.88
129,Landscape Architects,0.045,68820,19420,Landscape Architects,-0.449433304272,0.261473098,1.0,0.88
130,Health Educators,0.045,57900,57570,Health Educators,-0.345595854922,0.194855284,1.0,0.88
131,Mathematicians,0.047,105600,2730,Mathematicians,-0.641193181818,0.225119394,1.0,0.88
132,Floral Designers,0.047,27610,43990,Floral Designers,0.372328866353,0.319585627,1.0,0.88
133,"Farmers, Ranchers, and Other Agricultural Managers",0.047,75790,4560,"Farmers, Ranchers, and Other Agricultural Managers",-0.500065971764,0.350395945,1.0,0.88
134,Forest Fire Inspectors and Prevention Specialists,0.048,44300,1650,Forest Fire Inspectors and Prevention Specialists,-0.144695259594,0.355124092,1.0,0.88
135,Emergency Medical Technicians and Paramedics,0.049,36110,244960,Emergency Medical Technicians and Paramedics,0.0492938244254,0.300160088,1.0,0.88
136,Editors,0.055,66080,97170,Editors,-0.426604116223,0.253922857,1.0,0.88
137,Prosthodontists,0.055,168140,750,Prosthodontists,-0.774652075651,0.270546469,1.0,0.88
138,Travel Guides,0.057,35930,3030,Travel Guides,0.0545505148901,0.248973559,1.0,0.88
139,Licensed Practical and Licensed Vocational Nurses,0.058,44840,702400,Licensed Practical and Licensed Vocational Nurses,-0.154995539697,0.210110534,1.0,0.88
140,Sociologists,0.059,86840,2870,Sociologists,-0.563680331644,0.169414034,1.0,0.88
141,"Arbitrators, Mediators, and Conciliators",0.06,72730,6300,"Arbitrators, Mediators, and Conciliators",-0.479032036299,0.19638383,1.0,0.88
142,Animal Scientists,0.061,72890,2470,Animal Scientists,-0.480175607079,0.234395713,1.0,0.88
143,Residential Advisors,0.064,27690,110330,Residential Advisors,0.368364030336,0.263360301,1.0,0.88
144,Aircraft Cargo Handling Supervisors,0.066,51900,7460,Aircraft Cargo Handling Supervisors,-0.269942196532,0.358817733,1.0,0.88
145,Respiratory Therapists,0.066,60640,126770,Respiratory Therapists,-0.375164907652,0.270235977,1.0,0.88
146,Broadcast News Analysts,0.067,78200,5070,Broadcast News Analysts,-0.51547314578,0.258475044,1.0,0.88
147,Financial Managers,0.069,139720,543300,Financial Managers,-0.728814772402,0.206498089,1.0,0.88
148,Nuclear Engineers,0.07,105950,17680,Nuclear Engineers,-0.642378480415,0.222415145,1.0,0.88
149,Construction Managers,0.071,99510,249650,Construction Managers,-0.619234247814,0.302010713,1.0,0.88
150,Musicians and Singers,0.074,61862,40110,Musicians and Singers,-0.387507678381,0.297480294,1.0,0.88
151,First-Line Supervisors of Non-Retail Sales Workers,0.075,85830,252670,First-Line Supervisors of Non-Retail Sales Workers,-0.55854596295,0.231269203,1.0,0.88
152,First-Line Supervisors of Personal Service Workers,0.076,39830,190420,First-Line Supervisors of Personal Service Workers,-0.0487070047703,0.293401437,1.0,0.88
153,Food Scientists and Technologists,0.077,71270,14200,Food Scientists and Technologists,-0.468359758664,0.264086062,1.0,0.88
154,Compliance Officers,0.08,70250,273910,Compliance Officers,-0.460640569395,0.341029869,1.0,0.88
155,Fish and Game Wardens,0.08,54760,6610,Fish and Game Wardens,-0.308071585099,0.311649899,1.0,0.88
156,Graphic Designers,0.082,52290,210710,Graphic Designers,-0.275387263339,0.234876793,1.0,0.88
157,Food Service Managers,0.083,56010,201470,Food Service Managers,-0.323513658275,0.3035235,1.0,0.88
158,Childcare Workers,0.084,22930,569370,Childcare Workers,0.652420409943,0.304504245,1.0,0.88
159,Fitness Trainers and Aerobics Instructors,0.085,42780,257410,Fitness Trainers and Aerobics Instructors,-0.114305750351,0.312895493,1.0,0.88
160,Gaming Managers,0.091,79690,4280,Gaming Managers,-0.524532563684,0.240670516,1.0,0.88
161,Electrical Power-Line Installers and Repairers,0.097,67160,117670,Electrical Power-Line Installers and Repairers,-0.435824895771,0.450121014,1.0,0.88
162,Police and Sheriff's Patrol Officers,0.098,62760,657690,Police and Sheriff's Patrol Officers,-0.396271510516,0.275279248,1.0,0.88
163,Travel Agents,0.099,39900,68680,Travel Agents,-0.0503759398496,0.242284573,1.0,0.88
164,Chefs and Head Cooks,0.1,47390,134190,Chefs and Head Cooks,-0.200464232961,0.311988298,1.0,0.88
165,Animal Trainers,0.1,34580,13590,Animal Trainers,0.0957200694043,0.354047647,1.0,0.88
166,Radio and Television Announcers,0.1,48170,29210,Radio and Television Announcers,-0.21341083662,0.28453802,1.0,0.88
167,Electrical Engineers,0.1,98620,183770,Electrical Engineers,-0.615798012574,0.278802477,1.0,0.88
168,Chemists,0.1,80820,86660,Chemists,-0.531180400891,0.287049316,1.0,0.88
169,Respiratory Therapy Technicians,0.1,50520,10600,Respiratory Therapy Technicians,-0.25,0.277084337,1.0,0.88
170,Physicists,0.1,121770,16680,Physicists,-0.688839615669,0.176283583,1.0,0.88
171,"Hairdressers, Hairstylists, and Cosmetologists",0.11,29590,352380,"Hairdressers, Hairstylists, and Cosmetologists",0.280500168976,0.330022356,1.0,0.88
172,Reporters and Correspondents,0.11,49770,40090,Reporters and Correspondents,-0.23869801085,0.259207158,1.0,0.88
173,Air Traffic Controllers,0.11,118200,23240,Air Traffic Controllers,-0.679441624365,0.2800892,1.0,0.88
174,Dancers,0.13,32739,10060,Dancers,0.157335288188,0.237720265,1.0,0.88
175,Nuclear Medicine Technologists,0.13,75960,19650,Nuclear Medicine Technologists,-0.501184834123,0.288838941,1.0,0.88
176,"Software Developers, Systems Software",0.13,110590,409820,"Software Developers, Systems Software",-0.657383126865,0.27539091,1.0,0.88
177,Management Analysts,0.13,91910,637690,Management Analysts,-0.587748884779,0.213966344,1.0,0.88
178,Dietetic Technicians,0.13,29360,32240,Dietetic Technicians,0.29053133515,0.34494316,1.0,0.88
179,Urban and Regional Planners,0.13,73060,34810,Urban and Regional Planners,-0.48138516288,0.246285548,1.0,0.88
180,Social and Human Service Assistants,0.13,34120,360650,Social and Human Service Assistants,0.110492379836,0.21969689,1.0,0.88
181,Self-Enrichment Education Teachers,0.13,43150,229840,Self-Enrichment Education Teachers,-0.121900347625,0.323180659,1.0,0.88
182,Sound Engineering Technicians,0.13,65240,15210,Sound Engineering Technicians,-0.419221336603,0.316194688,1.0,0.88
183,Optometrists,0.14,117580,36430,Optometrists,-0.677751318251,0.220161483,1.0,0.88
184,"Mining and Geological Engineers, Including Mining Safety Engineers",0.14,103010,6940,"Mining and Geological Engineers, Including Mining Safety Engineers",-0.632171633822,0.260849351,1.0,0.88
185,Physician Assistants,0.14,102090,104050,Physician Assistants,-0.628856890979,0.165670183,1.0,0.88
186,"Kindergarten Teachers, Except Special Education",0.15,55460,151290,"Kindergarten Teachers, Except Special Education",-0.316804904436,0.247612562,1.0,0.88
187,Electricians,0.15,56650,607120,Electricians,-0.331156222418,0.429317271,1.0,0.88
188,Petroleum Engineers,0.16,147030,32780,Petroleum Engineers,-0.742297490308,0.259261889,1.0,0.88
189,Desktop Publishers,0.16,44380,13090,Desktop Publishers,-0.146237043713,0.309636914,1.0,0.88
190,General and Operations Managers,0.16,122090,2188870,General and Operations Managers,-0.689655172414,0.294678195,0.416699027352,0.88
191,Occupational Health and Safety Specialists,0.17,72480,76630,Occupational Health and Safety Specialists,-0.477235099338,0.293388705,1.0,0.88
192,Firefighters,0.17,50520,315910,Firefighters,-0.25,0.422836655,1.0,0.88
193,Financial Examiners,0.17,88940,49750,Financial Examiners,-0.573982460085,0.184246588,1.0,0.88
194,First-Line Supervisors of Construction Trades and Extraction Workers,0.17,68040,538220,First-Line Supervisors of Construction Trades and Extraction Workers,-0.443121693122,0.473192478,1.0,0.88
195,"Middle School Teachers, Except Special and Career/Technical Education",0.17,59800,626310,"Middle School Teachers, Except Special and Career/Technical Education",-0.366387959866,0.256082224,1.0,0.88
196,Public Relations Specialists,0.18,66540,226940,Public Relations Specialists,-0.430568079351,0.219949768,1.0,0.88
197,Commercial Divers,0.18,53990,3370,Commercial Divers,-0.298203370995,0.453263188,1.0,0.88
198,Manufactured Building and Mobile Home Installers,0.18,31030,3200,Manufactured Building and Mobile Home Installers,0.221076377699,0.419842907,1.0,0.88
199,"Airline Pilots, Copilots, and Flight Engineers",0.18,152770,81520,"Airline Pilots, Copilots, and Flight Engineers",-0.751980100805,0.260315292,1.0,0.88
200,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.19,55140,58810,Adult Basic and Secondary Education and Literacy Teachers and Instructors,-0.312840043526,0.223328538,1.0,0.88
201,Epidemiologists,0.2,77720,5690,Epidemiologists,-0.512480699949,0.155809447,1.0,0.88
202,Actuaries,0.21,114120,19940,Actuaries,-0.667981072555,0.177756168,1.0,0.88
203,Animal Control Workers,0.21,36600,12970,Animal Control Workers,0.0352459016393,0.395445519,1.0,0.88
204,Concierges,0.21,31440,32020,Concierges,0.205152671756,0.300928793,1.0,0.88
205,Statisticians,0.22,85160,33440,Statisticians,-0.555072804133,0.182298531,1.0,0.88
206,Computer Hardware Engineers,0.22,118700,72950,Computer Hardware Engineers,-0.680791912384,0.225312452,1.0,0.88
207,Survey Researchers,0.23,59950,11930,Survey Researchers,-0.367973311093,0.225831227,1.0,0.88
208,"Business Operations Specialists, All Other",0.23,74870,958670,"Business Operations Specialists, All Other",-0.493922799519,0.377991674,0.951422282955,0.88
209,Financial Analysts,0.23,97640,281610,Financial Analysts,-0.61194182712,0.252989237,1.0,0.88
210,Cardiovascular Technologists and Technicians,0.23,57100,53760,Cardiovascular Technologists and Technicians,-0.33642732049,0.317147237,1.0,0.88
211,"Agents and Business Managers of Artists, Performers, and Athletes",0.24,86560,13470,"Agents and Business Managers of Artists, Performers, and Athletes",-0.562268946396,0.203868158,1.0,0.88
212,"Engineering Technicians, Except Drafters, All Other",0.24,64050,74290,"Engineering Technicians, Except Drafters, All Other",-0.408430913349,0.375360256,1.0,0.88
213,Geographers,0.25,74090,1370,Geographers,-0.488594952085,0.20385102,1.0,0.88
214,Occupational Health and Safety Technicians,0.25,52520,16560,Occupational Health and Safety Technicians,-0.278560548363,0.41334328,1.0,0.88
215,Probation Officers and Correctional Treatment Specialists,0.25,55380,87500,Probation Officers and Correctional Treatment Specialists,-0.315817984832,0.212710882,1.0,0.88
216,Environmental Engineering Technicians,0.25,52500,16550,Environmental Engineering Technicians,-0.278285714286,0.401782549,1.0,0.88
217,"Managers, All Other",0.25,112150,403670,"Managers, All Other",-0.662148907713,0.324369919,1.0,0.88
218,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.25,25600,17300,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.480078125,0.458938955,1.0,0.88
219,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,92910,328370,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",-0.592185986438,0.274446462,1.0,0.88
220,"Career/Technical Education Teachers, Middle School",0.26,60350,12730,"Career/Technical Education Teachers, Middle School",-0.372162386081,0.347072099,1.0,0.88
221,"Captains, Mates, and Pilots of Water Vessels",0.27,81520,36720,"Captains, Mates, and Pilots of Water Vessels",-0.535206084396,0.415711381,1.0,0.88
222,Occupational Therapy Aides,0.27,31840,7210,Occupational Therapy Aides,0.190012562814,0.312957953,1.0,0.88
223,Medical Equipment Repairers,0.27,50910,43370,Medical Equipment Repairers,-0.255745433117,0.376643171,1.0,0.88
224,First-Line Supervisors of Retail Sales Workers,0.28,43910,1194220,First-Line Supervisors of Retail Sales Workers,-0.137098610795,0.311601598,0.763762120882,0.88
225,Athletes and Sports Competitors,0.28,83730,10260,Athletes and Sports Competitors,-0.547474023647,0.452566861,1.0,0.88
226,Gaming Supervisors,0.28,50810,22130,Gaming Supervisors,-0.254280653415,0.276776571,1.0,0.88
227,Skincare Specialists,0.29,35160,43980,Skincare Specialists,0.0776450511945,0.329051365,1.0,0.88
228,"Wholesale and Retail Buyers, Except Farm Products",0.29,60040,109440,"Wholesale and Retail Buyers, Except Farm Products",-0.36892071952,0.270442924,1.0,0.88
229,Biological Technicians,0.3,46130,74720,Biological Technicians,-0.178625623239,0.278760706,1.0,0.88
230,Medical Assistants,0.3,32850,623560,Medical Assistants,0.153424657534,0.278033942,1.0,0.88
231,Zoologists and Wildlife Biologists,0.3,64890,17720,Zoologists and Wildlife Biologists,-0.416088765603,0.27418319,1.0,0.88
232,"Cooks, Private Household",0.3,42220,370,"Cooks, Private Household",-0.10255802937,0.3282033,1.0,0.88
